regeshengen@MSVirtualMachine-1:~$ sudo docker service logs --since 5m --timestamps mystack_user-publication-service
2025-11-21T10:54:43.513905048Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Recebido upload. Título original: Publication title | RequestId: 59ee47f5-ec9d-44bb-a5fd-86300776983d
2025-11-21T10:54:43.522267427Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Metadados da imagem extraídos com sucesso. Tags encontradas: 134 | RequestId: 59ee47f5-ec9d-44bb-a5fd-86300776983d
2025-11-21T10:54:43.522322929Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Buscando dados do usuário em: http://user-auth-service:8080/api/v1/uuid/a3b8d4f6-7e1c-4b9a-9d0f-2c5e1a8b7c6d | RequestId: 59ee47f5-ec9d-44bb-a5fd-86300776983d
2025-11-21T10:54:43.531587128Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Dados do usuário recebidos: admin | RequestId: 59ee47f5-ec9d-44bb-a5fd-86300776983d
2025-11-21T10:54:43.531741731Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Enviando payload combinado para o serviço Node.js em: http://get-data:8083/process-java-payload | RequestId: 59ee47f5-ec9d-44bb-a5fd-86300776983d
2025-11-21T10:54:43.562024481Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Resposta do serviço Node.js recebida. Status: 200 OK | RequestId: 59ee47f5-ec9d-44bb-a5fd-86300776983d

2025-11-21T10:54:43.621071148Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Recebido upload. Título original: Publication title | RequestId: 6921a238-ebda-440d-a40f-3e9afaa0944d
2025-11-21T10:54:43.633270810Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Metadados da imagem extraídos com sucesso. Tags encontradas: 134 | RequestId: 6921a238-ebda-440d-a40f-3e9afaa0944d
2025-11-21T10:54:43.633315611Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Buscando dados do usuário em: http://user-auth-service:8080/api/v1/uuid/a3b8d4f6-7e1c-4b9a-9d0f-2c5e1a8b7c6d | RequestId: 6921a238-ebda-440d-a40f-3e9afaa0944d
2025-11-21T10:54:43.644115643Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Dados do usuário recebidos: admin | RequestId: 6921a238-ebda-440d-a40f-3e9afaa0944d
2025-11-21T10:54:43.645283668Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Enviando payload combinado para o serviço Node.js em: http://get-data:8083/process-java-payload | RequestId: 6921a238-ebda-440d-a40f-3e9afaa0944d
2025-11-21T10:54:43.678722386Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Resposta do serviço Node.js recebida. Status: 200 OK | RequestId: 6921a238-ebda-440d-a40f-3e9afaa0944d

2025-11-21T10:54:44.472397154Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Recebido upload. Título original: Publication title | RequestId: 705445fe-0735-4a11-9e0a-7a7e2b37a6a6
2025-11-21T10:54:44.484888052Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Metadados da imagem extraídos com sucesso. Tags encontradas: 134 | RequestId: 705445fe-0735-4a11-9e0a-7a7e2b37a6a6
2025-11-21T10:54:44.484927352Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Buscando dados do usuário em: http://user-auth-service:8080/api/v1/uuid/a3b8d4f6-7e1c-4b9a-9d0f-2c5e1a8b7c6d | RequestId: 705445fe-0735-4a11-9e0a-7a7e2b37a6a6
2025-11-21T10:54:44.494133425Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Dados do usuário recebidos: admin | RequestId: 705445fe-0735-4a11-9e0a-7a7e2b37a6a6
2025-11-21T10:54:44.494154825Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Enviando payload combinado para o serviço Node.js em: http://get-data:8083/process-java-payload | RequestId: 705445fe-0735-4a11-9e0a-7a7e2b37a6a6
